New York City	NY	40.7143	-74.0060	8804190
Los Angeles	CA	34.0522	-118.2437	3820914
Brooklyn	NY	40.6501	-73.9496	2736074
Chicago	IL	41.8500	-87.6500	2664452
Queens	NY	40.6815	-73.8365	2316841
Houston	TX	29.7633	-95.3633	2314157
Phoenix	AZ	33.4484	-112.0740	1650070
Philadelphia	PA	39.9524	-75.1636	1573916
San Antonio	TX	29.4241	-98.4936	1526656
Manhattan	NY	40.7834	-73.9663	1487536
San Diego	CA	32.7157	-117.1647	1404452
The Bronx	NY	40.8499	-73.8664	1385108
Dallas	TX	32.7831	-96.8067	1326087
Jacksonville	FL	30.3322	-81.6556	1009833
Fort Worth	TX	32.7254	-97.3208	1008106
San Jose	CA	37.3394	-121.8950	997368
Austin	TX	30.2672	-97.7431	974447
Columbus	OH	39.9612	-82.9988	913175
Charlotte	NC	35.2271	-80.8431	911311
Indianapolis	IN	39.7684	-86.1580	887642
San Francisco	CA	37.7749	-122.4194	827526
Seattle	WA	47.6062	-122.3321	780995
Denver	CO	39.7392	-104.9847	729019
Washington	DC	38.8951	-77.0364	689545
Nashville	TN	36.1659	-86.7844	689447
Oklahoma City	OK	35.4676	-97.5164	681054
El Paso	TX	31.7587	-106.4869	678815
Boston	MA	42.3584	-71.0598	653833
Portland	OR	45.5234	-122.6762	652503
Detroit	MI	42.3314	-83.0457	645705
Las Vegas	NV	36.1750	-115.1372	641903
New South Memphis	TN	35.0868	-90.0568	641608
Memphis	TN	35.1495	-90.0490	633104
Louisville	KY	38.2542	-85.7594	624444
Baltimore	MD	39.2904	-76.6122	585708
South Boston	MA	42.3334	-71.0495	571281
Albuquerque	NM	35.0845	-106.6511	564559
Milwaukee	WI	43.0389	-87.9065	563531
Tucson	AZ	32.2217	-110.9265	542629
Fresno	CA	36.7477	-119.7724	542107
Sacramento	CA	38.5816	-121.4944	524943
Atlanta	GA	33.7490	-84.3880	510823
Miami	FL	25.7743	-80.1937	487014
Omaha	NE	41.2563	-95.9404	486051
Raleigh	NC	35.7721	-78.6386	482295
Kansas City	MO	39.0997	-94.5786	475378
Long Beach	CA	33.7670	-118.1892	474140
Mesa	AZ	33.4223	-111.8226	471825
Staten Island	NY	40.5623	-74.1399	468730
Colorado Springs	CO	38.8339	-104.8214	456568
Virginia Beach	VA	36.8529	-75.9780	454808
Oakland	CA	37.8044	-122.2708	419267
Tampa	FL	27.9475	-82.4584	414547
Tulsa	OK	36.1540	-95.9928	413066
Minneapolis	MN	44.9800	-93.2638	410939
Wichita	KS	37.6922	-97.3375	396119
Arlington	TX	32.7357	-97.1081	388125
Bakersfield	CA	35.3733	-119.0187	373640
Cleveland	OH	41.4995	-81.6954	365379
New Orleans	LA	29.9547	-90.0751	362701
Aurora	CO	39.7294	-104.8319	359407
Honolulu	HI	21.3069	-157.8583	350964
Anaheim	CA	33.8353	-117.9145	350742
West Raleigh	NC	35.7868	-78.6639	338759
Orlando	FL	28.5383	-81.3792	334854
Lexington	KY	37.9887	-84.4777	320347
Riverside	CA	33.9534	-117.3962	317261
Corpus Christi	TX	27.8006	-97.3964	316239
Lexington-Fayette	KY	38.0498	-84.4586	314488
Cincinnati	OH	39.1271	-84.5144	311097
Santa Ana	CA	33.7456	-117.8678	310227
Stockton	CA	37.9577	-121.2908	305658
Pittsburgh	PA	40.4406	-79.9959	304391
Saint Paul	MN	44.9444	-93.0933	303176
Lincoln	NE	40.8000	-96.6670	294757
Anchorage	AK	61.2181	-149.9003	289600
Meads	KY	38.4126	-82.7091	288649
Henderson	NV	36.0397	-114.9819	285667
Greensboro	NC	36.0726	-79.7920	285342
Plano	TX	33.0198	-96.6989	283558
Newark	NJ	40.7357	-74.1724	281944
Madison	WI	43.0731	-89.4012	280305
St. Louis	MO	38.6273	-90.1979	279695
Chula Vista	CA	32.6401	-117.0842	265757
Toledo	OH	41.6639	-83.5552	265638
Jersey City	NJ	40.7282	-74.0776	264290
Reno	NV	39.5296	-119.8138	264165
Chandler	AZ	33.3062	-111.8413	260828
Fort Wayne	IN	41.1306	-85.1289	260326
Buffalo	NY	42.8865	-78.8784	258071
Durham	NC	35.9940	-78.8986	257636
St. Petersburg	FL	27.7709	-82.6793	257083
Irvine	CA	33.6695	-117.8231	256927
Laredo	TX	27.5064	-99.5075	256153
Lubbock	TX	33.5779	-101.8552	249042
Gilbert	AZ	33.3528	-111.7890	247542
Tri-Cities	WA	46.2454	-119.1962	244036
